"Group","Species","dN.F34","dS.F34","W.F34","dN.F61","dS.F61","W.F61"
"Birds","Pseudoleistes_virescens_JX516066.1",0.000441028684553432,0.0113039319635237,0.0390155112377335,0.000442817847573932,0.0103169849123399,0.0429212460167783
"Birds","Pseudoleistes_guirahuro_JX516071.1",0.000364541965427025,0.00921664965473198,0.0395525466501662,0.000357385313345022,0.00848801301463306,0.0421047084551946
"Birds","Xanthopsar_flavus_JX516065.1",0.000194856314647265,0.00975847015087612,0.019967916244512,0.000182085604807803,0.0090049982703479,0.0202205041401711
"Birds","Chrysomus_ruficapillus_JX516056.1",0.000338963582813115,0.0147583073618019,0.0229676462553175,0.00032974792040868,0.0139035546737906,0.0237168068271262
"Birds","Chrysomus_icterocephalus_JX516060.1",0.000482094339531992,0.0137517842335676,0.0350568574480116,0.000490158044135872,0.0124918303892113,0.0392382884544449
"Birds","Chrysomus_cyanopus_JX516076.1",0.000585960027924395,0.0189037116047736,0.0309970888350004,0.000584502973532081,0.018381861970111,0.0317978110423463
"Birds","Chrysomus_thilius_JX516069.1",0.000333889618054088,0.0211368155826553,0.0157965903969033,0.000333777536946987,0.0203522478329478,0.0164000330423768
"Birds","Molothrus_badius_JX516074.1",0.000190791840972038,0.0183565658592225,0.0103936565496635,0.000188330766856306,0.0175090188113664,0.0107562147762413
"Birds","Oreopsar_bolivianus_JX516058.1",0.000583274565428645,0.0179317375892449,0.0325274983824481,0.000583860535456201,0.0173953406260206,0.0335641910100248
"Birds","Gnorimopsar_chopi_JX516055.1",0.000683672558107282,0.0181821016057642,0.0376014045532854,0.000686812443010563,0.0174383974386728,0.0393850665134763
"Birds","Amblyramphus_holosericeus_JX516063.1",0.000497451560211015,0.0186176550987221,0.0267193455659816,0.000496272765044638,0.0185365539912754,0.0267726550079491
"Birds","Curaeus_curaeus_JX516070.1",0.000411871031132058,0.0172582685128564,0.0238651421389834,0.000410456476932406,0.0165177493893384,0.0248494190859524
"Birds","Macroagelaius_imthurni_JX516073.1",0.000704029160470307,0.0223662720993765,0.0314772688690456,0.000711926801791514,0.0216872268234704,0.0328270095382159
"Birds","Gymnomystax_mexicanus_JX516075.1",0.000622698642633645,0.0168662483688854,0.0369198074767113,0.000617990433384463,0.0167926636146522,0.0368012155525609
"Birds","Quiscalus_quiscula_JX516064.1",0.000237103866173883,0.0135777928577731,0.0174626221402504,0.000238169501527473,0.0131596641859081,0.0180984482706265
"Birds","Quiscalus_mexicanus_MN356197.1",0.000487927787525243,0.0163027556613232,0.0299291603003538,0.000488327400782839,0.0153829791467554,0.0317446572685394
"Birds","Euphagus_cyanocephalus_JX516072.1",0.000312744161599803,0.022817048763709,0.0137066000444908,0.000307375582046748,0.0224861490421661,0.0136695519304064
"Birds","Dives_dives_JX516061.1",0.000453866244736245,0.0176359013722189,0.025735358525604,0.000455225680731371,0.0175029856074228,0.0260084588390632
