"","species","clade","dn","ds","w","clade.age","clade.age.sd","tip.age","tip.age.sd","dN.Mean","dN.Mid","dN.Min","dN.Max","dN.QL","dN.QU","dS.Mean","dS.Mid","dS.Min","dS.Max","dS.QL","dS.QU"
"1","Pseudoleistes_virescens_JX516066.1",1156,0.000657333333333333,0.016848,0.0390155112377335,10.84211786,1.1585656888804,1.50820991,0.433619138789779,0.000665557250409002,0.000441028684553432,0.00027973190562254,0.010405453893075,0.000298550613633676,0.00323149988906736,0.0170587858340125,0.0113039319635237,0.00716976137818746,0.266700436902425,0.00765210051495969,0.0828260296110651
"2","Pseudoleistes_guirahuro_JX516071.1",1156,0.000543333333333333,0.013737,0.0395525466501662,10.84211786,1.1585656888804,1.50820991,0.433619138789779,0.000550130992985128,0.000364541965427025,0.000231218562963864,0.00860085691973237,0.000246773580234732,0.00267106735252525,0.0139088640195768,0.00921664965473198,0.00584585779037044,0.217453935287786,0.00623913252457273,0.067532120653324
"3","Xanthopsar_flavus_JX516065.1",1156,0.000473,0.023688,0.019967916244512,10.84211786,1.1585656888804,2.47073856,0.642497318100952,0.000262262452719494,0.000194856314647265,0.000122606293565088,0.00382296364547468,0.000132812583647521,0.00115405956834814,0.013134192346764,0.00975847015087612,0.00614016465532727,0.191455312545463,0.0066512991151004,0.0577956935624329
"4","Chrysomus_ruficapillus_JX516056.1",1156,0.000392333333333333,0.017082,0.0229676462553175,10.84211786,1.1585656888804,1.18043604,0.415398330325983,0.000502801965967618,0.000338963582813115,0.000148934931758191,0.00890230158910243,0.000206750918274941,0.00250329354384492,0.0218917498283573,0.0147583073618019,0.00648455353685665,0.387601824328924,0.00900183309933527,0.108992167330397
"5","Chrysomus_icterocephalus_JX516060.1",1156,0.000558,0.015917,0.0350568574480116,10.84211786,1.1585656888804,1.18043604,0.415398330325983,0.000715115115573316,0.000482094339531992,0.00021182419351165,0.0126613873068458,0.000294053557512533,0.00356033423313203,0.0203987227501442,0.0137517842335676,0.00604230410058233,0.361167207460688,0.00838790407693008,0.101558853026456
"6","Chrysomus_cyanopus_JX516076.1",1156,0.00174266666666667,0.0562203333333333,0.0309970888350004,10.84211786,1.1585656888804,2.95019137,0.861856607663974,0.000857641115549389,0.000585960027924395,0.000357723830907476,0.0122222066366489,0.000400419060494814,0.00435089909628365,0.0276684407401828,0.0189037116047736,0.0115405621738114,0.394301758520243,0.0129179569935187,0.140364765202428
"7","Chrysomus_thilius_JX516069.1",1156,0.000993,0.0628616666666667,0.0157965903969033,10.84211786,1.1585656888804,2.95019135,0.861856668911543,0.000488698469427261,0.000333889618054088,0.000203836854154833,0.00696446230563679,0.000228165336881035,0.00247921509121282,0.0309369589986372,0.0211368155826553,0.0129038513396406,0.440883895236158,0.0144439610794595,0.156946216171994
"8","Molothrus_badius_JX516074.1",1156,0.000542666666666667,0.0522113333333333,0.0103936565496635,10.84211786,1.1585656888804,2.90138693,0.822042108578599,0.000262366939327026,0.000190791840972038,9.77319582182672e-05,0.00367797395144984,0.000124087829296168,0.00127069311202211,0.0252429872079541,0.0183565658592225,0.0094030390316708,0.353867181763756,0.0119388040872089,0.122256600066629
"9","Oreopsar_bolivianus_JX516058.1",1156,0.001659,0.051003,0.0325274983824481,10.84211786,1.1585656888804,2.90138693,0.822042108578599,0.00080208860996966,0.000583274565428645,0.000298778842783978,0.011244027245925,0.000379352043247561,0.00388466807035261,0.0246587856385067,0.0179317375892449,0.00918542333846366,0.345677589887831,0.0116625028702564,0.119427200477513
"10","Gnorimopsar_chopi_JX516055.1",1156,0.00304833333333333,0.0810696666666667,0.0376014045532854,10.84211786,1.1585656888804,4.6054093,1.05308363345297,0.000696915414781121,0.000683672558107282,0.000458909278277468,0.00101784585973806,0.000467638815954053,0.000971786392927746,0.0185342920845819,0.0181821016057642,0.0122045780930109,0.0270693574304028,0.0124367379758742,0.0258444173687878
